Date,Environment,Entities Created,Entity Type,RDF Entity Type,Time To Complete,Time To Write,Time To Commit,Time To Get Number of Triples,Triples Per Entity,Triples Per Total Second,Triples Per Write Second,Total Triples Created,Start Time,End Time,Percentage Of Time Writing,Percentage Of Time Validating,Percentage Of Time Getting Number of Triples,Number of triples in RDF prior to writing,Driver,Active Graph,User,Role,Tenant,Verbose,Result First,Profiler,Validation,Entailment,Language,Transaction Depth,Push Depth,Mode,cwd
9/03/2018,,5000,VERSION,dslc:ItemVersioningPolicy,389.961,382.661,7.3,1.022,34,435.94103,444.2574498,170000,1.52057E+12,1.52057E+12,98.13%,1.87%,NA,24240,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,6250,VERSION,dslc:ItemVersioningPolicy,473.16,464.256,8.904,11.565,34,449.1081241,457.7216019,212500,1.52057E+12,1.52057E+12,98.12%,1.88%,NA,169244,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,7500,VERSION,dslc:ItemVersioningPolicy,571.247,560.738,10.509,27.949,34,446.391841,454.757837,255000,1.52057E+12,1.52057E+12,98.16%,1.84%,NA,350498,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,8750,VERSION,dslc:ItemVersioningPolicy,669.159,656.454,12.705,47.226,34,444.5879081,453.1924552,297500,1.52058E+12,1.52058E+12,98.10%,1.90%,NA,568002,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,10000,VERSION,dslc:ItemVersioningPolicy,781.638,767.601,14.037,68.098,34,434.9839696,442.9384537,340000,1.52058E+12,1.52058E+12,98.20%,1.80%,NA,821756,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,5000,TIMESTAMP,dscust:Type.Assembly,6.92,3.696,3.224,92.559,7,5057.803468,9469.69697,35000,1.52058E+12,1.52058E+12,53.41%,46.59%,NA,1111760,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,6250,TIMESTAMP,dscust:Type.Assembly,8.876,4.72,4.156,95.81,7,4929.022082,9269.067797,43750,1.52058E+12,1.52058E+12,53.18%,46.82%,NA,1146760,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,7500,TIMESTAMP,dscust:Type.Assembly,10.296,5.514,4.782,101.298,7,5099.067599,9521.218716,52500,1.52058E+12,1.52058E+12,53.55%,46.45%,NA,1190510,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,8750,TIMESTAMP,dscust:Type.Assembly,12.385,6.421,5.964,107.042,7,4945.498587,9539.012615,61250,1.52058E+12,1.52058E+12,51.85%,48.16%,NA,1243010,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,10000,TIMESTAMP,dscust:Type.Assembly,13.906,7.365,6.541,113.448,7,5033.79836,9504.412763,70000,1.52058E+12,1.52058E+12,52.96%,47.04%,NA,1304260,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
9/03/2018,,5000,SIMPLE,ds6w:Part,3.381,3.073,0.308,123.464,3,4436.557232,4881.22356,15000,1.52058E+12,1.52058E+12,90.89%,9.11%,NA,1374260,nuo,dskern:Graph.tenant1.data,dskern:Person.Guest,,dskern:Tenant.tenant1,OFF,ON,OFF,OFF,ON,ALL,1,0,WRITE,
